N, time mcs
891, 54704
892, 55158
893, 53788
894, 53984
895, 47498
896, 49364
897, 47054
898, 48339
899, 49974
900, 68524
901, 51026
902, 49283
903, 48775
904, 51529
905, 49400
906, 48956
907, 49982
908, 52001
909, 50787
910, 51336
911, 48695
912, 48288
913, 45736
914, 48440
915, 45786
916, 47451
917, 48716
918, 48972
919, 48929
920, 56069
921, 57844
922, 89421
923, 54575
924, 55835
925, 56352
926, 56935
927, 55648
928, 56620
929, 57026
930, 83453
931, 87126
932, 83482
933, 83445
934, 82914
935, 87308
936, 100168
937, 90411
938, 57035
939, 69635
940, 57437
941, 56730
942, 57273
943, 58551
944, 87612
945, 52517
946, 68546
947, 51650
948, 52750
949, 52301
950, 55433
951, 57199
952, 56548
953, 58554
954, 59790
955, 59941
956, 62667
957, 86387
958, 74264
959, 70862
960, 71725
961, 72600
962, 63851
963, 70472
964, 147735
965, 73605
966, 88699
967, 73911
968, 75073
969, 75740
970, 102982
971, 75865
972, 61692
973, 64503
974, 58856
975, 58971
976, 64838
977, 60774
978, 60954
979, 60968
980, 61353
981, 63767
982, 61472
983, 63042
984, 63155
985, 63372
986, 62768
987, 60904
988, 60535
989, 63011
990, 61691
991, 62153
992, 61933
993, 99924
994, 67424
995, 56552
996, 55871
997, 54477
998, 61083
999, 62311
1000, 63524
